FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171664,171664,POINT (16.277519334489508 48.19317859423471),A1,Fahrradwaschanlage,Kefergasse 3,1140,https://www.arboe.at/wien/services-beim-arboe-wien,16.27751933,48.19317853,Werkzeug,Aktiv,ARBÖ,OF,während der Öffnungszeiten
RADSERVICEOGD.171665,171665,POINT (16.36027370534532 48.22610730764115),RS127,Radservicestation,Althanstraße 1-3,1090,https://www.wienerlinien.at/wienmobil/stationen,16.3602737,48.22610724,Werkzeug,Aktiv,WienMobil/Wiener Linien,24,24/7
RADSERVICEOGD.171666,171666,POINT (16.292573898292098 48.15031509014983),,Radservicestation,Scherbangasse 15,1230,,16.29257389,48.15031502,Werkzeug,Aktiv,,24,24/7
RADSERVICEOGD.171509,171509,POINT (16.30334930578765 48.165519171872134),RS99,Radservicestation,Marschallplatz,1120,https://www.wienerlinien.at/wienmobil/stationen,16.3033493,48.16551911,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171510,171510,POINT (16.386297001826872 48.1671431521736),RS95,Radservicestation,Absberggasse 53,1100,https://www.wienerlinien.at/wienmobil/stationen,16.386297,48.16714309,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171511,171511,POINT (16.371578119478723 48.1734745886442),RS96,Radservicestation,Arthaberplatz,1100,https://www.wienerlinien.at/wienmobil/stationen,16.37157811,48.17347452,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171512,171512,POINT (16.355094403158 48.17620076287764),RS97,Radservicestation,Kundratstraße 4,1100,https://www.wienerlinien.at/wienmobil/stationen,16.3550944,48.1762007,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171513,171513,POINT (16.333923723065123 48.184210445482435),RS98,Radservicestation,Bruno-Pittermann-Platz,1120,https://www.wienerlinien.at/wienmobil/stationen,16.33392372,48.18421038,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171514,171514,POINT (16.507885698310485 48.22519640771464),S14,Schlauchautomat,Wangari-Maathai-Platz,1220,https://www.dr-bike.at/,16.50788569,48.22519634,Schlauchautomat,Aktiv,DR Bike,,
RADSERVICEOGD.171515,171515,POINT (16.36748881454976 48.18119410291793),RS101,Radservicestation,Herzgasse 1,1100,https://www.wienerlinien.at/wienmobil/stationen,16.36748881,48.18119404,Werkzeug,Aktiv,Wienobil/Wiener Linien,,
RADSERVICEOGD.171516,171516,POINT (16.474947482583836 48.21334398062975),RS102,Radservicestation,Wulzendorfstrasse 89,1220,https://www.wienerlinien.at/wienmobil/stationen,16.47494748,48.21334391,Werkzeug,Aktiv,Wienobil/Wiener Linien,,
RADSERVICEOGD.171517,171517,POINT (16.348411174959306 48.154319308363874),RS103,Radservicestation,Otto-Probst-Straße 20,1100,https://www.wienerlinien.at/wienmobil/stationen,16.34841117,48.15431924,Werkzeug,Aktiv,Wienobil/Wiener Linien,,
RADSERVICEOGD.171518,171518,POINT (16.45323742965753 48.229080719368824),RS104,Radservicestation,Vernholzgasse 20,1220,https://www.wienerlinien.at/wienmobil/stationen,16.45323742,48.22908065,Werkzeug,Aktiv,Wienobil/Wiener Linien,,
RADSERVICEOGD.171519,171519,POINT (16.486537841412353 48.23361563431904),RS105,Radservicestation,U-Bahn Station Hausfeldstraße,1220,https://www.wienerlinien.at/wienmobil/stationen,16.48653784,48.23361557,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171520,171520,POINT (16.397662387259754 48.22877585112664),RS106,Radservicestation,Engerthstraße 154A,1020,https://www.roteskreuz.at/wien/home,16.39766238,48.22877578,Werkzeug,Aktiv,Wiener Rotes Kreuz,,
RADSERVICEOGD.171521,171521,POINT (16.308325512704936 48.16725616959814),L01,Druckluft während der Öffnungszeiten,Hetzendorfer Straße 81,1120,https://flickschuh.wien/,16.30832551,48.1672561,Pumpe,Aktiv,Fahrradwerkstatt Flickschuh,OF,während der Öffnungszeiten
RADSERVICEOGD.171522,171522,POINT (16.34431731187442 48.201939170041726),L02,Druckluft während der Öffnungszeiten,Westbahnstraße 28,1070,https://www.ig-fahrrad.at/,16.34431731,48.2019391,Pumpe,Aktiv,IG Fahrrad,OF,während der Öffnungszeiten
RADSERVICEOGD.171523,171523,POINT (16.35466851210838 48.206627670076806),L03,Luftpumpe,Lerchenfelder Straße 1 beim Hoteleingang,1070,https://www.25hours-hotels.com/hotels/wien/museumsquartier,16.35466851,48.2066276,Pumpe,Aktiv,25hours Hotel,,
RADSERVICEOGD.171524,171524,POINT (16.378402112760103 48.20693986974367),L04,Luftpumpe,Stubenbastei/Zedlitzgasse,1010,https://www.bmk.gv.at/,16.37840211,48.2069398,Pumpe,Aktiv,BMK,,
RADSERVICEOGD.171525,171525,POINT (16.347039039768077 48.191038643622576),L05,Luftpumpe,Gumpendorfer Straße 111,1060,https://www.fahrrad.co.at/,16.34703903,48.19103858,Pumpe,Aktiv,Cooperative Fahrrad,,
RADSERVICEOGD.171526,171526,POINT (16.435607812900216 48.241446869937185),L06,Luftpumpe,Donauzentrum beim Eingang zum Ärztezentrum bei den,1220,https://www.donauzentrum.at/,16.43560781,48.2414468,Pumpe,Aktiv,Donauzentrum,,
RADSERVICEOGD.171527,171527,POINT (16.34683653523066 48.187398388500625),L07,Luftpumpe,Am Hundsturm 1,1050,https://heavypedals.at/,16.34683653,48.18739832,Pumpe,Aktiv,Heavy Pedals,,
RADSERVICEOGD.171528,171528,POINT (16.42085781297355 48.169492969805226),L08,Luftpumpe,Simmeringer Platz 1,1110,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.42085781,48.1694929,Pumpe,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171529,171529,POINT (16.21659716277674 48.20872439235713),RS01,Radservicestation,"B1, Eingang Hadersdorf ins Auhof Center",1140,https://www.auhofcenter.at/,16.21659716,48.20872433,Werkzeug,Aktiv,Auhof Center,,
RADSERVICEOGD.171530,171530,POINT (16.34392428233135 48.18843230893906),RS41,Radservicestation,Bruno-Kreisky-Park,1050,https://www.wienerlinien.at/wienmobil/stationen,16.34392428,48.18843224,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171531,171531,POINT (16.386179435495333 48.21108347366616),RS94,Radservicestation,Radetzkystraße 2,1030,https://www.bmk.gv.at/,16.38617943,48.21108341,Werkzeug,Aktiv,BMK,,
RADSERVICEOGD.171532,171532,POINT (16.386324384291616 48.21208311512742),S13,Schlauchautomat,Herrmannpark,1030,https://www.radlobby.at/,16.38632438,48.21208305,Schlauchautomat,Aktiv,Radlobby,,
RADSERVICEOGD.171533,171533,POINT (16.301992380067627 48.22829890594353),RS111,Radservicestation,Vollbadgasse 2,1170,,16.30199237,48.22829884,Werkzeug,Aktiv,,,
RADSERVICEOGD.171534,171534,POINT (16.38450121324226 48.18147626959972),RS06,Radservicestation,Emilie-Flöge-Weg 4,1100,https://radbande.at/,16.38450121,48.1814762,Werkzeug,Aktiv,Radbande,,
RADSERVICEOGD.171535,171535,POINT (16.378235913120733 48.21652056946992),RS07,Radservicestation,Große Sperlgasse 4,1020,https://www.mobilitaetsagentur.at/,16.37823591,48.2165205,Werkzeug,Aktiv,Mobilitätsagentur Wien,,
RADSERVICEOGD.171536,171536,POINT (16.41278178882005 48.18851762987687),RS08,Radservicestation,Baumgasse 131,1030,https://www.oeamtc.at/,16.41278178,48.18851756,Werkzeug,Aktiv,ÖAMTC,OF,während der Öffnungszeiten
RADSERVICEOGD.171537,171537,POINT (16.278188499295545 48.19255144329363),RS09,Radservicestation,Hadikgasse 192,1140,https://www.oeamtc.at/,16.27818849,48.19255138,Werkzeug,Aktiv,ÖAMTC,,
